Date,Year,Quarter,Corporate_Credit,Household_Deposits,Corporate_Deposits,Private_Sector_Deposits,Household_Loans,M1,M2,M3
2020-10-01,2020,2020Q4,36211.66666666666,125230.0,69995.33333333333,235486.46666666667,88164.0,246830.3333333333,291912.3333333333,339712.6666666667
2021-01-01,2021,2021Q1,30866.0,132334.0,67500.0,240697.13333333333,91494.66666666669,254202.3333333333,297073.3333333333,349041.0
2021-04-01,2021,2021Q2,31093.0,136253.33333333334,69629.66666666667,248858.9333333333,91756.66666666669,266740.0,306087.0,354251.6666666667
2021-07-01,2021,2021Q3,31031.666666666668,139052.0,71258.66666666667,254555.9333333333,86942.0,279647.0,319501.0,362419.3333333333
2021-10-01,2021,2021Q4,30853.33333333333,140476.0,75396.33333333333,261917.53333333333,87748.0,282253.0,322096.3333333333,370912.0
2022-01-01,2022,2022Q1,31244.666666666668,142184.0,75275.33333333333,281167.6,102906.33333333331,282417.0,324754.3333333333,378029.3333333333
2022-04-01,2022,2022Q2,32243.666666666668,144418.33333333334,75584.66666666667,286789.2,101581.66666666669,289474.3333333333,329541.0,383338.3333333333
2022-07-01,2022,2022Q3,32903.333333333336,147012.0,75853.66666666667,293270.6,100774.0,291649.6666666667,335561.0,404462.6666666667
2022-10-01,2022,2022Q4,32674.33333333333,148465.66666666666,79486.33333333333,296444.06666666665,100611.0,292265.6666666667,341415.3333333333,402368.6666666667
2023-01-01,2023,2023Q1,31881.33333333333,149430.33333333334,78703.33333333333,286633.13333333336,100225.66666666669,285196.3333333333,334097.3333333333,386988.3333333333
2023-04-01,2023,2023Q2,31462.33333333333,151640.33333333334,78604.0,290438.06666666665,100534.33333333331,285039.0,335320.6666666667,398038.0
2023-07-01,2023,2023Q3,30928.0,152573.33333333334,79263.66666666667,291429.13333333336,101225.33333333331,282240.6666666667,335434.6666666667,401004.0
2023-10-01,2023,2023Q4,30846.33333333333,152544.33333333334,81442.33333333333,290221.0,101422.66666666669,278618.6666666667,338001.3333333333,415458.6666666667
2024-01-01,2024,2024Q1,30103.33333333333,153605.33333333334,79785.66666666667,291429.06666666665,101446.66666666669,285347.0,346628.6666666667,419232.6666666667
2024-04-01,2024,2024Q2,29794.33333333333,155591.66666666666,81351.66666666667,296699.8,101886.66666666669,288616.0,352899.0,435168.3333333333
2024-07-01,2024,2024Q3,29813.33333333333,157208.0,82678.66666666667,300380.6,102701.0,290460.3333333333,355705.3333333333,448525.6666666667
2024-10-01,2024,2024Q4,30013.666666666668,159338.33333333334,84783.0,306112.86666666664,103489.66666666669,296224.3333333333,361498.6666666667,484983.3333333333
